title,filename,doi,year,venue,abstract,keywords,authors,primary_topic,primary_subfield,primary_field,primary_domain,referenced_works,related_works,cited_by_count,source
A Principle-based Analysis of Abstract Agent Argumentation Semantics,A Principle-based Analysis of Abstract Agent Argumentation Semantics.pdf,https://doi.org/10.24963/kr.2021/60,2021.0,,"Abstract agent argumentation frameworks extend Dung’s theory with agents, and in this paper we study four types of semantics for them. First, agent defense semantics replaces Dung’s notion of defense by some kind of agent defense. Second, social agent semantics prefers arguments that belong to more agents. Third, agent reduction semantics considers the perspective of individual agents. Fourth, agent filtering semantics are inspired by a lack of knowledge. We study five existing principles and we introduce twelve new ones. In total, we provide a full analysis of fifty-two agent semantics and the seventeen principles.",Argumentation theory; Semantics (computer science); Computer science; Argumentation framework; Perspective (graphical); Denotational semantics; Operational semantics; Multi-agent system; Artificial intelligence; Programming language; Epistemology; Philosophy,Liuwen Yu; Dongheng Chen; Lisha Qiao; Yiqi Shen; Leendert van der Torre,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W36665044; https://openalex.org/W1567975326; https://openalex.org/W1602796727; https://openalex.org/W2049248401; https://openalex.org/W2051478833; https://openalex.org/W2063837957; https://openalex.org/W2070179237; https://openalex.org/W2104126268; https://openalex.org/W2112029595; https://openalex.org/W2115449662; https://openalex.org/W2118090719; https://openalex.org/W2272896389; https://openalex.org/W2414842418; https://openalex.org/W2462420578; https://openalex.org/W2617321216; https://openalex.org/W2762987520; https://openalex.org/W2783015689; https://openalex.org/W2783708491; https://openalex.org/W2788809090; https://openalex.org/W2889435355; https://openalex.org/W2891074282; https://openalex.org/W2894210146; https://openalex.org/W2897348608; https://openalex.org/W2921040595; https://openalex.org/W3080322119; https://openalex.org/W3096499268; https://openalex.org/W4289548216; https://openalex.org/W6601531622; https://openalex.org/W6633903273; https://openalex.org/W6662625477; https://openalex.org/W6694144675; https://openalex.org/W6747739106; https://openalex.org/W6754353288; https://openalex.org/W6989287767,https://openalex.org/W124110387; https://openalex.org/W3216091191; https://openalex.org/W2052903087; https://openalex.org/W47899866; https://openalex.org/W3036972880; https://openalex.org/W1560931420; https://openalex.org/W3129725704; https://openalex.org/W2219393274; https://openalex.org/W2072493788; https://openalex.org/W2755363016,8.0,not_found_papers_enriched.csv
A Two-Phase Dialogue Game for Skeptical Preferred Semantics.,A Two-Phase Dialogue Game for Skeptical Preferred Semantics..pdf,https://doi.org/10.1007/978-3-319-48758-8_41,2016.0,Lecture notes in computer science,,Argument (complex analysis); Computer science; Extension (predicate logic); Argumentation theory; Skepticism; Correctness; Construct (python library); Mathematical economics; Semantics (computer science); Theoretical computer science; Epistemology; Algorithm; Mathematics; Programming language; Philosophy,Zohreh Shams; Nir Oren,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W14006711; https://openalex.org/W102060495; https://openalex.org/W118884479; https://openalex.org/W1487206350; https://openalex.org/W1497356603; https://openalex.org/W1511680847; https://openalex.org/W1521433304; https://openalex.org/W1972753218; https://openalex.org/W2104126268; https://openalex.org/W2129829265; https://openalex.org/W2245373112; https://openalex.org/W2294711601; https://openalex.org/W2320125866; https://openalex.org/W2403351823; https://openalex.org/W2545596265,https://openalex.org/W4256185029; https://openalex.org/W2141332034; https://openalex.org/W3008339103; https://openalex.org/W2337488240; https://openalex.org/W2762454042; https://openalex.org/W4388437769; https://openalex.org/W2064153856; https://openalex.org/W4230455549; https://openalex.org/W2404647514; https://openalex.org/W52290235,5.0,not_found_papers_enriched.csv
A logic programming framework for possibilistic argumentation Formalization and logical properties,A logic programming framework for possibilistic argumentation Formalization and logical properties.pdf,https://doi.org/10.1016/j.fss.2007.12.013,2008.0,Fuzzy Sets and Systems,,Logic programming; Defeasible estate; Argumentation theory; Computer science; Argument (complex analysis); Fuzzy logic; Defeasible reasoning; Argumentative; Argumentation framework; Non-monotonic logic; Artificial intelligence; Programming language; Theoretical computer science; Mathematics; Epistemology,Teresa Alsinet; Carlos Iván Chesñevar; Lluı́s Godo; Guillermo Ricardo Simari,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W47988291; https://openalex.org/W151765464; https://openalex.org/W159189698; https://openalex.org/W186848946; https://openalex.org/W650250757; https://openalex.org/W1255317831; https://openalex.org/W1481955269; https://openalex.org/W1490498454; https://openalex.org/W1498364211; https://openalex.org/W1501129163; https://openalex.org/W1510121260; https://openalex.org/W1525347523; https://openalex.org/W1543762573; https://openalex.org/W1569277790; https://openalex.org/W1572288416; https://openalex.org/W1583346297; https://openalex.org/W1586030051; https://openalex.org/W1600705349; https://openalex.org/W1602796727; https://openalex.org/W1825730661; https://openalex.org/W1996089549; https://openalex.org/W2003017965; https://openalex.org/W2015899729; https://openalex.org/W2020955676; https://openalex.org/W2050211807; https://openalex.org/W2067422403; https://openalex.org/W2069176561; https://openalex.org/W2075090033; https://openalex.org/W2075805052; https://openalex.org/W2098746567; https://openalex.org/W2104126268; https://openalex.org/W2107316243; https://openalex.org/W2108619657; https://openalex.org/W2111427732; https://openalex.org/W2133127628; https://openalex.org/W2145340246; https://openalex.org/W2145790759; https://openalex.org/W2155212122; https://openalex.org/W2156092566; https://openalex.org/W2159569510; https://openalex.org/W2169160043; https://openalex.org/W2170232725; https://openalex.org/W2502886499; https://openalex.org/W2914334278; https://openalex.org/W4210317869; https://openalex.org/W4285719527; https://openalex.org/W4388310111; https://openalex.org/W6628816561,https://openalex.org/W2118735566; https://openalex.org/W2380969826; https://openalex.org/W1528561239; https://openalex.org/W1523472488; https://openalex.org/W2936472323; https://openalex.org/W3082661735; https://openalex.org/W1519321178; https://openalex.org/W1487795664; https://openalex.org/W438619099; https://openalex.org/W2407256320,102.0,not_found_papers_enriched.csv
A tutorial on assumption-based argumentation,A tutorial on assumption-based argumentation.pdf,https://doi.org/10.1080/19462166.2013.869878,2014.0,Argument & Computation,"We give an introductory tutorial to assumption-based argumentation (referred to as ABA) – a form of argumentation where arguments and attacks are notions derived from primitive notions of rules in a deductive system, assumptions and contraries thereof. ABA is equipped with different semantics for determining ‘winning’ sets of assumptions and – interchangeably and equivalently – ‘winning’ sets of arguments. It is also equipped with a catalogue of computational techniques to determine whether given conclusions can be supported by a ‘winning’ set of arguments. These are in the form of disputes between (fictional) proponent and opponent players, provably correct w.r.t. the semantics. Albeit simple, ABA is powerful in that it can be used to represent and reason with a number of problems in AI and beyond: non-monotonic reasoning, preferences, decisions. While doing so, it encompasses the expressive and computational needs of these problems while affording the transparency and explanatory power of argumentation.",Argumentation theory; Computer science; Calculus (dental); Programming language; Epistemology; Philosophy; Medicine,Francesca Toni,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W14574457; https://openalex.org/W44734829; https://openalex.org/W72452787; https://openalex.org/W94041557; https://openalex.org/W98858009; https://openalex.org/W105821165; https://openalex.org/W166258322; https://openalex.org/W176373453; https://openalex.org/W176609766; https://openalex.org/W195239097; https://openalex.org/W1491996680; https://openalex.org/W1504340090; https://openalex.org/W1534361892; https://openalex.org/W1539931787; https://openalex.org/W1540024383; https://openalex.org/W1552250714; https://openalex.org/W1569448525; https://openalex.org/W1584531404; https://openalex.org/W1587191403; https://openalex.org/W1907236407; https://openalex.org/W1965296062; https://openalex.org/W1987005090; https://openalex.org/W2006784674; https://openalex.org/W2015899729; https://openalex.org/W2018816844; https://openalex.org/W2029784280; https://openalex.org/W2034735942; https://openalex.org/W2039020269; https://openalex.org/W2046131379; https://openalex.org/W2071122890; https://openalex.org/W2084827335; https://openalex.org/W2104126268; https://openalex.org/W2105953471; https://openalex.org/W2115268056; https://openalex.org/W2126499385; https://openalex.org/W2133568918; https://openalex.org/W2140256766; https://openalex.org/W2142350242; https://openalex.org/W2148970881; https://openalex.org/W2155322595; https://openalex.org/W2159569510; https://openalex.org/W2401879079; https://openalex.org/W2772521659; https://openalex.org/W2914176469; https://openalex.org/W2945259913; https://openalex.org/W4229554797; https://openalex.org/W4256682192; https://openalex.org/W4388298880; https://openalex.org/W6600583651,https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W4256185029; https://openalex.org/W2141332034; https://openalex.org/W2337488240; https://openalex.org/W2762454042; https://openalex.org/W52290235; https://openalex.org/W1598849238; https://openalex.org/W756293569; https://openalex.org/W4312998178,176.0,not_found_papers_enriched.csv
Acceptability Semantics for Weighted Argumentation Frameworks,Acceptability Semantics for Weighted Argumentation Frameworks.pdf,https://doi.org/10.24963/ijcai.2017/9,2017.0,,"The paper studies semantics that evaluate arguments in argumentation graphs, where each argument has a basic strength, and may be attacked by other arguments. It starts by defining a set of principles, each of which is a property that a semantics could satisfy. It provides the first formal analysis and comparison of existing semantics. Finally, it defines three novel semantics that satisfy more principles than existing ones.",Argumentation theory; Semantics (computer science); Computer science; Argument (complex analysis); Well-founded semantics; Proof-theoretic semantics; Operational semantics; Argumentation framework; Formal semantics (linguistics); Denotational semantics; Set (abstract data type); Property (philosophy); Computational semantics; Action semantics; Theoretical computer science; Programming language; Natural language processing; Epistemology,Leïla Amgoud; Jonathan Ben-Naim; Dragan Doder; Srdjan Vesić,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W36665044; https://openalex.org/W52566239; https://openalex.org/W118976055; https://openalex.org/W157848010; https://openalex.org/W1540952379; https://openalex.org/W1772815481; https://openalex.org/W1825730661; https://openalex.org/W1966873207; https://openalex.org/W2075002200; https://openalex.org/W2078438690; https://openalex.org/W2079883067; https://openalex.org/W2104126268; https://openalex.org/W2107316243; https://openalex.org/W2116246756; https://openalex.org/W2118090719; https://openalex.org/W2118471024; https://openalex.org/W2160547131; https://openalex.org/W2265288561; https://openalex.org/W2405720308; https://openalex.org/W2524556227; https://openalex.org/W2575025881; https://openalex.org/W2578757281; https://openalex.org/W2613795762; https://openalex.org/W4297786039; https://openalex.org/W4300570530; https://openalex.org/W6604764964; https://openalex.org/W6606363322; https://openalex.org/W6677821441; https://openalex.org/W6685309501; https://openalex.org/W6731525460; https://openalex.org/W6732394414; https://openalex.org/W6803771590,https://openalex.org/W91938043; https://openalex.org/W1518056771; https://openalex.org/W113177489; https://openalex.org/W2415302829; https://openalex.org/W2109790275; https://openalex.org/W321717935; https://openalex.org/W2156720745; https://openalex.org/W1990759781; https://openalex.org/W2399019821; https://openalex.org/W4388795455,71.0,not_found_papers_enriched.csv
An Assumption-Based Framework for Non-Monotonic Reasoning,An Assumption-Based Framework for Non-Monotonic Reasoning.pdf,https://doi.org/10.7551/mitpress/4307.003.0016,1993.0,Logic Programming and Non-Monotonic Reasoning,,Monotonic function; Computer science; Mathematics; Mathematical analysis,A. G. Bondarenko; Francesca Toni; Robert Kowalski,"Logic, Reasoning, and Knowledge",Artificial Intelligence,Computer Science,Physical Sciences,,https://openalex.org/W2748952813; https://openalex.org/W4380682190; https://openalex.org/W4315701745; https://openalex.org/W1990290471; https://openalex.org/W2945307361; https://openalex.org/W2102386043; https://openalex.org/W2005710836; https://openalex.org/W2003813852; https://openalex.org/W2116636209; https://openalex.org/W4366779185,126.0,not_found_papers_enriched.csv
Argument Attribution Explanations in Quantitative Bipolar Argumentation Frameworks,Argument Attribution Explanations in Quantitative Bipolar Argumentation Frameworks.pdf,https://doi.org/10.3233/faia230603,2023.0,Frontiers in artificial intelligence and applications,"Argumentative explainable AI has been advocated by several in recent years, with an increasing interest on explaining the reasoning outcomes of Argumentation Frameworks (AFs). While there is a considerable body of research on qualitatively explaining the reasoning outcomes of AFs with debates/disputes/dialogues in the spirit of extension-based semantics, explaining the quantitative reasoning outcomes of AFs under gradual semantics has not received much attention, despite widespread use in applications. In this paper, we contribute to filling this gap by proposing a novel theory of Argument Attribution Explanations (AAEs) by incorporating the spirit of feature attribution from machine learning in the context of Quantitative Bipolar Argumentation Frameworks (QBAFs): whereas feature attribution is used to determine the influence of features towards outputs of machine learning models, AAEs are used to determine the influence of arguments towards topic arguments of interest. We study desirable properties of AAEs, including some new ones and some partially adapted from the literature to our setting. To demonstrate the applicability of our AAEs in practice, we conclude by carrying out two case studies in the scenarios of fake news detection and movie recommender systems.",Argumentation theory; Attribution; Argument (complex analysis); Argumentative; Context (archaeology); Semantics (computer science); Computer science; Feature (linguistics); Epistemology; Argumentation framework; Authorship attribution; Artificial intelligence; Data science; Psychology; Social psychology; Linguistics; Philosophy; Chemistry,Xiang Yin; Nico Potyka; Francesca Toni,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W28385484; https://openalex.org/W1519455504; https://openalex.org/W1900017563; https://openalex.org/W1965333653; https://openalex.org/W2022792521; https://openalex.org/W2079883067; https://openalex.org/W2104126268; https://openalex.org/W2150165932; https://openalex.org/W2240433827; https://openalex.org/W2346578521; https://openalex.org/W2411881509; https://openalex.org/W2516809705; https://openalex.org/W2524556227; https://openalex.org/W2594079227; https://openalex.org/W2605409611; https://openalex.org/W2618851150; https://openalex.org/W2625153660; https://openalex.org/W2788538021; https://openalex.org/W2808093526; https://openalex.org/W2884913901; https://openalex.org/W2891503716; https://openalex.org/W2899320128; https://openalex.org/W2904302354; https://openalex.org/W2945667586; https://openalex.org/W2945701722; https://openalex.org/W2962862931; https://openalex.org/W2970929006; https://openalex.org/W2972211610; https://openalex.org/W2980975299; https://openalex.org/W3080190649; https://openalex.org/W3107600318; https://openalex.org/W3144635834; https://openalex.org/W3155304331; https://openalex.org/W3167168831; https://openalex.org/W3175495812; https://openalex.org/W3177471157; https://openalex.org/W3216065183; https://openalex.org/W4210963087; https://openalex.org/W4213419683; https://openalex.org/W4281253658; https://openalex.org/W4283313256; https://openalex.org/W4300343529; https://openalex.org/W4308830333,https://openalex.org/W4321509371; https://openalex.org/W2513082738; https://openalex.org/W1596851013; https://openalex.org/W2195988402; https://openalex.org/W2796323698; https://openalex.org/W1601611047; https://openalex.org/W1502948570; https://openalex.org/W4385893816; https://openalex.org/W4385292803; https://openalex.org/W4387171455,1.0,not_found_papers_enriched.csv
Argument Visualization and Narrative Approaches for Collaborative Spatial Decision Making and Knowledge Construction A Case Study for an Offshore Wind Farm Project,Argument Visualization and Narrative Approaches for Collaborative Spatial Decision Making and Knowledge Construction A Case Study for an Offshore Wind Farm Project.pdf,https://doi.org/10.1007/978-3-319-27430-0_10,2015.0,Lecture notes in computer science,,Computer science; Narrative; Offshore wind power; Argument (complex analysis); Visualization; Knowledge management; Data science; Operations research; Artificial intelligence; Wind power; Engineering,Aamna AlShehhi; Zeyar Aung; Wei Lee Woon,Geographic Information Systems Studies,"Geography, Planning and Development",Social Sciences,Social Sciences,https://openalex.org/W213572128; https://openalex.org/W637581729; https://openalex.org/W654075956; https://openalex.org/W1502046018; https://openalex.org/W1529610850; https://openalex.org/W1569055712; https://openalex.org/W1575316482; https://openalex.org/W1793989827; https://openalex.org/W1814757303; https://openalex.org/W1966960384; https://openalex.org/W1968297949; https://openalex.org/W1969665102; https://openalex.org/W1973997806; https://openalex.org/W1976069032; https://openalex.org/W1997586913; https://openalex.org/W1998170305; https://openalex.org/W2019593251; https://openalex.org/W2025828342; https://openalex.org/W2026172046; https://openalex.org/W2080456555; https://openalex.org/W2090074022; https://openalex.org/W2115164132; https://openalex.org/W2117633682; https://openalex.org/W2127580579; https://openalex.org/W2133391912; https://openalex.org/W2160099861; https://openalex.org/W2170226793; https://openalex.org/W2225158035; https://openalex.org/W2334801791; https://openalex.org/W2488171025; https://openalex.org/W2544576356; https://openalex.org/W3125018924; https://openalex.org/W4240774676; https://openalex.org/W4285719527; https://openalex.org/W4299914783,https://openalex.org/W2348886128; https://openalex.org/W2388067091; https://openalex.org/W2367656648; https://openalex.org/W2767361142; https://openalex.org/W3184486719; https://openalex.org/W2017634520; https://openalex.org/W2068608913; https://openalex.org/W1598375762; https://openalex.org/W2350200549; https://openalex.org/W2362132076,2.0,not_found_papers_enriched.csv
Assisted Debate Builder with Large Language Models,Assisted Debate Builder with Large Language Models.pdf,https://doi.org/10.3233/faia241026,2024.0,Frontiers in artificial intelligence and applications,"We introduce ADBL2, an assisted debate builder tool. It is based on the capability of large language models to generalise and perform relation-based argument mining in a wide-variety of domains. It is the first open-source tool that leverages relation-based mining for (1) the verification of pre-established relations in a debate and (2) the assisted creation of new arguments by means of large language models. ADBL2 is highly modular and can work with any open-source large language models that are used as plugins. As a by-product, we also provide the first fine-tuned Mistral-7B large language model for relation-based argument mining, usable by ADBL2, which outperforms existing approaches for this task with an overall F1-score of 90.59% across all domains.",Argument (complex analysis); Computer science; USable; Relation (database); Plug-in; Variety (cybernetics); Task (project management); Programming language; Modular design; Language model; Natural language processing; Modeling language; Artificial intelligence; World Wide Web; Data mining; Engineering; Software; Systems engineering,Elliot Faugier; Frédéric Armetta; Angela Bonifati; Bruno Yun,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,,https://openalex.org/W47352601; https://openalex.org/W2981957539; https://openalex.org/W4287378204; https://openalex.org/W2461489085; https://openalex.org/W2545422590; https://openalex.org/W4240705470; https://openalex.org/W2945311252; https://openalex.org/W2982321410; https://openalex.org/W2392004567; https://openalex.org/W631546281,2.0,not_found_papers_enriched.csv
Assumption-Based Argumentation Equipped with Preferences,Assumption-Based Argumentation Equipped with Preferences.pdf,https://doi.org/10.1007/978-3-319-13191-7_10,2014.0,Lecture notes in computer science,,Argumentation theory; Computer science; Expressive power; Sentence; Semantics (computer science); Theoretical computer science; Artificial intelligence; Power (physics); Epistemology; Programming language,Toshiko Wakaki,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W20253354; https://openalex.org/W44734829; https://openalex.org/W98858009; https://openalex.org/W112736345; https://openalex.org/W165610595; https://openalex.org/W172988810; https://openalex.org/W1504340090; https://openalex.org/W1521469396; https://openalex.org/W1546359515; https://openalex.org/W1552250714; https://openalex.org/W1582663744; https://openalex.org/W1672891595; https://openalex.org/W1951907177; https://openalex.org/W1961668815; https://openalex.org/W1966873207; https://openalex.org/W1985161451; https://openalex.org/W1988650943; https://openalex.org/W2006559750; https://openalex.org/W2015899729; https://openalex.org/W2039020269; https://openalex.org/W2048283782; https://openalex.org/W2076698873; https://openalex.org/W2104126268; https://openalex.org/W2107113867; https://openalex.org/W2116246756; https://openalex.org/W2121835362; https://openalex.org/W2149567024; https://openalex.org/W2155476636; https://openalex.org/W2162068502; https://openalex.org/W2167635066; https://openalex.org/W2293504531; https://openalex.org/W2415700644; https://openalex.org/W2481559215; https://openalex.org/W2496097244; https://openalex.org/W2496730082; https://openalex.org/W2524978612; https://openalex.org/W2613922719,https://openalex.org/W2141332034; https://openalex.org/W4256185029; https://openalex.org/W4388437769; https://openalex.org/W2762454042; https://openalex.org/W2064153856; https://openalex.org/W2337488240; https://openalex.org/W1911405709; https://openalex.org/W2003031781; https://openalex.org/W3006338902; https://openalex.org/W1679944736,14.0,not_found_papers_enriched.csv
Behavioral Experiments for Assessing the Abstract,Behavioral Experiments for Assessing the Abstract.pdf,https://doi.org/10.1111/j.1551-6709.2010.01123.x,2010.0,Cognitive Science,"Argumentation is a very fertile area of research in Artificial Intelligence, and various semantics have been developed to predict when an argument can be accepted, depending on the abstract structure of its defeaters and defenders. When these semantics make conflicting predictions, theoretical arbitration typically relies on ad hoc examples and normative intuition about what prediction ought to be the correct one. We advocate a complementary, descriptive-experimental method, based on the collection of behavioral data about the way human reasoners handle these critical cases. We report two studies applying this method to the case of reinstatement (both in its simple and floating forms). Results speak for the cognitive plausibility of reinstatement and yet show that it does not yield the full expected recovery of the attacked argument. Furthermore, results show that floating reinstatement yields comparable effects to that of simple reinstatement, thus arguing in favor of preferred argumentation semantics, rather than grounded argumentation semantics. Besides their theoretical value for validating and inspiring argumentation semantics, these results have applied value for developing artificial agents meant to argue with human users.",Argumentation theory; Argument (complex analysis); Computer science; Semantics (computer science); Normative; Artificial intelligence; Intuition; Cognitive science; Argumentation framework; Value (mathematics); Epistemology; Psychology; Machine learning; Programming language; Philosophy,Iyad Rahwan; Iqbal Madakkatel; Jean‐François Bonnefon; Ruqiyabi Naz Awan; Sherief Abdallah,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W112560872; https://openalex.org/W162743038; https://openalex.org/W1510315745; https://openalex.org/W1547762555; https://openalex.org/W1555466033; https://openalex.org/W1578957392; https://openalex.org/W1584858533; https://openalex.org/W1595235134; https://openalex.org/W1626176828; https://openalex.org/W1972019381; https://openalex.org/W1990429790; https://openalex.org/W2015431510; https://openalex.org/W2015899729; https://openalex.org/W2017840457; https://openalex.org/W2022264647; https://openalex.org/W2023948166; https://openalex.org/W2043753407; https://openalex.org/W2045455892; https://openalex.org/W2053218582; https://openalex.org/W2064460163; https://openalex.org/W2070285744; https://openalex.org/W2074922803; https://openalex.org/W2076995410; https://openalex.org/W2090707686; https://openalex.org/W2095959179; https://openalex.org/W2096452841; https://openalex.org/W2101239135; https://openalex.org/W2102451699; https://openalex.org/W2104126268; https://openalex.org/W2106728171; https://openalex.org/W2111887774; https://openalex.org/W2112029595; https://openalex.org/W2118090719; https://openalex.org/W2118471024; https://openalex.org/W2119129799; https://openalex.org/W2121835362; https://openalex.org/W2129829265; https://openalex.org/W2142034193; https://openalex.org/W2144925414; https://openalex.org/W2148970881; https://openalex.org/W2154023470; https://openalex.org/W2962690512; https://openalex.org/W3092712820; https://openalex.org/W4229554797; https://openalex.org/W4242981563; https://openalex.org/W4249535114; https://openalex.org/W4285719527,https://openalex.org/W1607097899; https://openalex.org/W124110387; https://openalex.org/W3216091191; https://openalex.org/W2052903087; https://openalex.org/W47899866; https://openalex.org/W1560931420; https://openalex.org/W2050214921; https://openalex.org/W52290235; https://openalex.org/W2065807231; https://openalex.org/W1975845914,78.0,not_found_papers_enriched.csv
Continuum Argumentation Frameworks from Cooperative Game Theory,Continuum Argumentation Frameworks from Cooperative Game Theory.pdf,https://doi.org/10.3233/faia200524,2020.0,Frontiers in artificial intelligence and applications,"We investigate the argumentation frameworks (AFs) that arise from multi-player transferable-utility cooperative games. These AFs have uncountably infinitely many arguments; arguments represent alternative payoff distributions to the players. We examine which of the various properties of AFs (from Dung's 1995 seminal paper) hold; we prove that these AFs are never finitary, never well-founded, always controversial and never limited controversial. We hope that this will encourage further exchange of ideas between argumentation and cooperative games.",Argumentation theory; Game theory; Computer science; Epistemology; Mathematical economics; Mathematics; Philosophy,Anthony P. Young; David Kohan Marzagão; Josh Murphy,Multi-Agent Systems and Negotiation,Artificial Intelligence,Computer Science,Physical Sciences,https://openalex.org/W194006334; https://openalex.org/W1562353621; https://openalex.org/W1965943287; https://openalex.org/W1975303601; https://openalex.org/W1998788558; https://openalex.org/W2011782253; https://openalex.org/W2067594649; https://openalex.org/W2102152964; https://openalex.org/W2104126268; https://openalex.org/W2148503166; https://openalex.org/W2167497429; https://openalex.org/W2965002538,https://openalex.org/W4391375266; https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W4256185029; https://openalex.org/W2141332034; https://openalex.org/W4388437769; https://openalex.org/W4391098513; https://openalex.org/W2810654249; https://openalex.org/W1493131192; https://openalex.org/W4321509371,0.0,not_found_papers_enriched.csv
Convergence and stability of Galerkin finite element method for hyperbolic Partial differential equation with piecewise continuous Arguments of Advanced Type,Convergence and stability of Galerkin finite element method for hyperbolic Partial differential equation with piecewise continuous Arguments of Advanced Type.pdf,https://doi.org/10.3846/mma.2023.16677,2023.0,Mathematical Modelling and Analysis,"This paper deals with the convergence and stability of Galerkin finite element method for a hyperbolic partial differential equations with piecewise continuous arguments of advanced type. First of all, we obtain the expression of analytic solution by the method of separation variable, then the sufficient conditions for stability are obtained. Semidiscrete and fully discrete schemes are derived by Galerkin finite element method, and their convergence are both analyzed in L2-norm. Moreover, the stability of the two schemes are investigated. The semidiscrete scheme can achieve unconditionally stability. The sufficient conditions of stability for fully discrete scheme are derived under which the analytic solution is asymptotically stable. Finally, some numerical experiments are presented to illustrate the theoretical results.",Mathematics; Piecewise; Finite element method; Galerkin method; Hyperbolic partial differential equation; Partial differential equation; Discontinuous Galerkin method; Mathematical analysis; Stability (learning theory); Convergence (economics); Applied mathematics; Norm (philosophy); Stability theory; Nonlinear system; Computer science,Yongtang Chen; Qi Wang,Advanced Numerical Methods in Computational Mathematics,Computational Mechanics,Engineering,Physical Sciences,https://openalex.org/W374977727; https://openalex.org/W1992469756; https://openalex.org/W2008117223; https://openalex.org/W2041333630; https://openalex.org/W2043392073; https://openalex.org/W2050981767; https://openalex.org/W2053047639; https://openalex.org/W2066202829; https://openalex.org/W2081277494; https://openalex.org/W2082621526; https://openalex.org/W2117403072; https://openalex.org/W2192202393; https://openalex.org/W2461570565; https://openalex.org/W2471565216; https://openalex.org/W2535457083; https://openalex.org/W2563703745; https://openalex.org/W2580459080; https://openalex.org/W2591308379; https://openalex.org/W2611358462; https://openalex.org/W2767727682; https://openalex.org/W2769508618; https://openalex.org/W2780226290; https://openalex.org/W2792235942; https://openalex.org/W2803634166; https://openalex.org/W2892280020; https://openalex.org/W2900463803; https://openalex.org/W2907469738; https://openalex.org/W2924873015; https://openalex.org/W2953446726; https://openalex.org/W3031378268; https://openalex.org/W3039617479; https://openalex.org/W3082039685; https://openalex.org/W3134553542; https://openalex.org/W4298874742,https://openalex.org/W623557396; https://openalex.org/W2120874885; https://openalex.org/W1965109456; https://openalex.org/W2982093746; https://openalex.org/W3043435143; https://openalex.org/W2162026849; https://openalex.org/W2394687667; https://openalex.org/W1995357705; https://openalex.org/W2462867196; https://openalex.org/W2050773296,0.0,not_found_papers_enriched.csv
Data Reduction for Continuum of Care An Exploratory Study Using the Predicate-Argument Structure to Pre-process Radiology Sentences for Measurement of Semantic Similarity,Data Reduction for Continuum of Care An Exploratory Study Using the Predicate-Argument Structure to Pre-process Radiology Sentences for Measurement of Semantic Similarity.pdf,https://doi.org/10.1007/978-3-642-39194-1_60,2013.0,Lecture notes in computer science,,Computer science; Natural language processing; Predicate (mathematical logic); Artificial intelligence; Information retrieval; Programming language,Eric Tyner Newsom; Josette Jones,Radiology practices and education,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences,https://openalex.org/W41809082; https://openalex.org/W186166080; https://openalex.org/W1439222551; https://openalex.org/W1481723484; https://openalex.org/W1553828724; https://openalex.org/W1566018662; https://openalex.org/W1651266083; https://openalex.org/W1987661380; https://openalex.org/W1988624983; https://openalex.org/W2002514548; https://openalex.org/W2062458775; https://openalex.org/W2065602513; https://openalex.org/W2067994019; https://openalex.org/W2072323436; https://openalex.org/W2073449354; https://openalex.org/W2109368679; https://openalex.org/W2113202266; https://openalex.org/W2122139846; https://openalex.org/W2128374977; https://openalex.org/W2134498732; https://openalex.org/W2137846772; https://openalex.org/W2145310422; https://openalex.org/W2146089916; https://openalex.org/W2152785430; https://openalex.org/W2153771335; https://openalex.org/W2156832572; https://openalex.org/W2161299591; https://openalex.org/W2553280805; https://openalex.org/W2993672906,https://openalex.org/W2748952813; https://openalex.org/W2390279801; https://openalex.org/W2358668433; https://openalex.org/W2376932109; https://openalex.org/W2001405890; https://openalex.org/W2382290278; https://openalex.org/W2350741829; https://openalex.org/W2530322880; https://openalex.org/W1596801655; https://openalex.org/W3204019825,1.0,not_found_papers_enriched.csv
